# age, mass, xsound, sleep, brand
3.22,1.91,0.45,8.61,0.00
4.80,3.03,0.83,10.78,0.00
3.58,2.21,0.61,9.12,0.00
3.73,2.15,0.37,9.28,0.00
3.66,2.11,0.37,9.18,0.00
4.52,2.70,0.53,10.36,1.00
6.04,3.66,0.70,12.40,1.00
5.68,3.53,0.83,11.95,0.00
4.98,2.91,0.46,10.95,0.00
3.07,1.96,0.68,8.45,0.00
4.73,2.64,0.24,10.58,0.00
4.38,2.72,0.70,10.19,0.00
6.62,3.80,0.38,13.12,1.00
3.57,2.02,0.30,9.05,0.00
4.69,2.65,0.29,10.54,0.00
4.89,2.92,0.56,10.85,0.00
3.29,1.97,0.49,8.71,0.00
6.54,3.89,0.60,13.05,1.00
5.53,3.41,0.76,11.74,1.00
5.67,3.46,0.71,11.91,1.00
4.77,2.91,0.65,10.70,0.00
5.22,3.19,0.69,11.31,0.00
3.60,2.25,0.66,9.15,0.00
5.19,3.24,0.80,11.29,1.00
4.14,2.55,0.65,9.86,0.00
3.44,2.34,0.96,8.99,0.00
4.05,2.55,0.73,9.76,0.00
4.81,2.73,0.32,10.70,0.00
4.54,2.85,0.77,10.42,0.00
4.74,2.83,0.54,10.65,0.00
4.08,2.39,0.44,9.76,0.00
3.37,2.15,0.71,8.86,0.00
5.06,3.21,0.89,11.13,1.00
5.17,3.22,0.78,11.27,1.00
3.40,2.17,0.72,8.90,0.00
4.22,2.61,0.66,9.98,0.00
4.75,2.94,0.72,10.69,0.00
4.77,3.00,0.80,10.73,0.00
5.27,3.09,0.47,11.34,1.00
5.28,2.93,0.19,11.31,0.00
6.03,3.63,0.66,12.38,1.00
6.20,3.58,0.41,12.57,1.00
3.61,2.29,0.71,9.17,0.00
4.47,2.63,0.47,10.28,0.00
4.11,2.58,0.72,9.84,0.00
4.88,3.01,0.70,10.87,0.00
4.77,2.74,0.37,10.66,0.00
5.66,3.47,0.73,11.90,1.00
4.46,2.93,0.98,10.35,0.00
4.79,2.87,0.56,10.72,0.00
4.67,2.97,0.84,10.61,0.00
4.63,2.75,0.52,10.50,0.00
3.98,2.60,0.89,9.70,0.00
5.29,3.18,0.61,11.39,0.00
5.43,3.18,0.47,11.55,1.00
3.91,2.42,0.65,9.56,0.00
6.39,3.83,0.65,12.86,1.00
4.72,2.91,0.70,10.64,0.00
5.20,3.07,0.52,11.25,0.00
5.56,3.41,0.73,11.77,1.00
4.60,2.67,0.42,10.44,0.00
4.97,3.22,0.98,11.03,0.00
3.97,2.47,0.67,9.65,0.00
5.29,3.10,0.47,11.36,1.00
3.74,2.19,0.43,9.29,0.00
4.83,2.86,0.51,10.76,1.00
4.33,2.61,0.56,10.11,0.00
4.17,2.51,0.56,9.89,0.00
5.25,3.26,0.78,11.36,1.00
4.47,2.66,0.51,10.29,0.00
3.96,2.29,0.39,9.59,0.00
4.28,2.49,0.42,10.01,0.00
5.19,3.23,0.78,11.29,1.00
4.80,2.75,0.35,10.69,0.00
4.71,2.64,0.25,10.56,0.00
5.57,3.44,0.77,11.79,1.00
4.77,3.09,0.97,10.76,0.00
5.09,3.10,0.67,11.13,0.00
2.91,1.84,0.62,8.23,0.00
6.58,3.93,0.63,13.11,1.00
4.88,2.88,0.50,10.82,1.00
5.39,3.14,0.44,11.50,0.00
3.55,2.21,0.64,9.08,0.00
5.44,3.48,0.97,11.65,0.00
4.02,2.50,0.68,9.72,0.00
5.82,3.54,0.70,12.11,1.00
